bird_y, bottom_pipe_y, top_pipe_y, dist
355,582,398,333,0
360,582,398,331,0
365,582,398,329,0
371,582,398,327,0
377,582,398,325,0
383,582,398,323,0
389,582,398,321,0
395,582,398,319,0
402,582,398,317,0
409,582,398,315,0
416,582,398,313,0
423,582,398,311,0
430,582,398,309,0
438,582,398,307,0
446,582,398,305,0
437,582,398,303,1
429,582,398,301,0
422,582,398,299,0
416,582,398,297,0
411,582,398,295,0
407,582,398,293,0
404,582,398,291,0
402,582,398,289,0
401,582,398,287,0
401,582,398,285,0
402,582,398,283,0
404,582,398,281,0
407,582,398,279,0
411,582,398,277,0
416,582,398,275,0
422,582,398,273,0
429,582,398,271,0
434,582,398,269,0
439,582,398,267,0
444,582,398,265,0
435,582,398,263,1
427,582,398,261,0
420,582,398,259,0
414,582,398,257,0
409,582,398,255,0
405,582,398,253,0
402,582,398,251,0
400,582,398,249,0
399,582,398,247,0
399,582,398,245,0
400,582,398,243,0
402,582,398,241,0
405,582,398,239,0
409,582,398,237,0
414,582,398,235,0
420,582,398,233,0
427,582,398,231,0
432,582,398,229,0
437,582,398,227,0
443,582,398,225,0
448,582,398,223,0
454,582,398,221,0
445,582,398,219,1
437,582,398,217,0
430,582,398,215,0
424,582,398,213,0
419,582,398,211,0
415,582,398,209,0
412,582,398,207,0
410,582,398,205,0
409,582,398,203,0
409,582,398,201,0
410,582,398,199,0
412,582,398,197,0
415,582,398,195,0
419,582,398,193,0
424,582,398,191,0
430,582,398,189,0
437,582,398,187,0
442,582,398,185,0
447,582,398,183,0
453,582,398,181,0
458,582,398,179,0
449,582,398,177,1
441,582,398,175,0
434,582,398,173,0
428,582,398,171,0
423,582,398,169,0
419,582,398,167,0
416,582,398,165,0
414,582,398,163,0
413,582,398,161,0
413,582,398,159,0
414,582,398,157,0
416,582,398,155,0
419,582,398,153,0
423,582,398,151,0
428,582,398,149,0
434,582,398,147,0
441,582,398,145,0
446,582,398,143,0
451,582,398,141,0
457,582,398,139,0
462,582,398,137,0
468,582,398,135,0
474,582,398,133,0
480,582,398,131,0
487,582,398,129,0
478,582,398,127,1
470,582,398,125,0
463,582,398,123,0
457,582,398,121,0
452,582,398,119,0
448,582,398,117,0
445,582,398,115,0
443,582,398,113,0
442,582,398,111,0
442,582,398,109,0
443,582,398,107,0
445,582,398,105,0
448,582,398,103,0
452,582,398,101,0
457,582,398,99,0
463,582,398,97,0
470,582,398,95,0
475,582,398,93,0
480,582,398,91,0
485,582,398,89,0
491,582,398,87,0
497,582,398,85,0
488,582,398,83,1
480,582,398,81,0
473,582,398,79,0
467,582,398,77,0
462,582,398,75,0
458,582,398,73,0
455,582,398,71,0
453,582,398,69,0
452,582,398,67,0
452,582,398,65,0
453,582,398,63,0
455,582,398,61,0
458,582,398,59,0
462,582,398,57,0
467,582,398,55,0
473,582,398,53,0
480,582,398,51,0
485,582,398,49,0
490,582,398,47,0
495,582,398,45,0
501,582,398,43,0
507,582,398,41,0
513,582,398,39,0
519,582,398,37,0
510,582,398,35,1
502,582,398,33,0
495,582,398,31,0
489,582,398,29,0
484,582,398,27,0
480,582,398,25,0
477,582,398,23,0
475,582,398,21,0
474,582,398,19,0
474,582,398,17,0
475,582,398,15,0
477,582,398,13,0
480,582,398,11,0
484,582,398,9,0
489,582,398,7,0
495,582,398,5,0
502,582,398,3,0
507,582,398,1,0
512,582,398,0,0
503,582,398,0,1
495,582,398,0,0
488,582,398,0,0
482,582,398,0,0
477,582,398,0,0
473,582,398,0,0
470,582,398,0,0
468,582,398,0,0
467,582,398,0,0
467,582,398,0,0
468,582,398,0,0
470,582,398,0,0
473,582,398,0,0
477,582,398,0,0
482,582,398,0,0
488,582,398,0,0
495,582,398,0,0
500,582,398,0,0
506,582,398,0,0
511,582,398,0,0
517,582,398,0,0
522,582,398,0,0
528,582,398,0,0
519,582,398,0,1
511,582,398,0,0
504,582,398,0,0
498,582,398,0,0
493,582,398,0,0
489,582,398,0,0
486,582,398,0,0
484,582,398,0,0
483,582,398,0,0
483,582,398,0,0
484,582,398,0,0
486,582,398,0,0
489,582,398,0,0
493,582,398,0,0
498,582,398,0,0
504,582,398,0,0
511,582,398,0,0
502,582,398,0,1
494,582,398,0,0
487,582,398,0,0
481,582,398,0,0
476,582,398,0,0
472,582,398,0,0
469,582,398,0,0
467,582,398,0,0
466,582,398,0,0
466,582,398,0,0
467,582,398,0,0
469,582,398,0,0
472,582,398,0,0
476,582,398,0,0
481,582,398,0,0
472,582,398,0,1
464,582,398,0,0
457,582,398,0,0
451,582,398,0,0
446,582,398,0,0
442,582,398,0,0
439,582,398,0,0
437,582,398,0,0
436,582,398,0,0
436,582,398,0,0
437,582,398,0,0
439,582,398,0,0
442,582,398,0,0
446,582,398,0,0
451,582,398,0,0
442,582,398,0,1
434,582,398,0,0
427,522,338,103,0
421,522,338,101,0
416,522,338,99,0
412,522,338,97,0
409,522,338,95,0
407,522,338,93,0
406,522,338,91,0
406,522,338,89,0
407,522,338,87,0
409,522,338,85,0
412,522,338,83,0
416,522,338,81,0
421,522,338,79,0
427,522,338,77,0
434,522,338,75,0
439,522,338,73,0
444,522,338,71,0
450,522,338,69,0
455,522,338,67,0
461,522,338,65,0
452,522,338,63,1
444,522,338,61,0
437,522,338,59,0
431,522,338,57,0
426,522,338,55,0
422,522,338,53,0
419,522,338,51,0
417,522,338,49,0
416,522,338,47,0
416,522,338,45,0
417,522,338,43,0
419,522,338,41,0
422,522,338,39,0
426,522,338,37,0
417,522,338,35,1
409,522,338,33,0
402,522,338,31,0
396,522,338,29,0
391,522,338,27,0
387,522,338,25,0
384,522,338,23,0
382,522,338,21,0
381,522,338,19,0
381,522,338,17,0
382,522,338,15,0
384,522,338,13,0
387,522,338,11,0
391,522,338,9,0
396,522,338,7,0
402,522,338,5,0
409,522,338,3,0
414,522,338,1,0
419,522,338,0,0
425,522,338,0,0
430,522,338,0,0
436,522,338,0,0
442,522,338,0,0
448,522,338,0,0
455,522,338,0,0
461,522,338,0,0
468,522,338,0,0
459,522,338,0,1
451,522,338,0,0
444,522,338,0,0
438,522,338,0,0
433,522,338,0,0
429,522,338,0,0
426,522,338,0,0
424,522,338,0,0
423,522,338,0,0
423,522,338,0,0
424,522,338,0,0
426,522,338,0,0
429,522,338,0,0
420,522,338,0,1
412,522,338,0,0
405,522,338,0,0
399,522,338,0,0
394,522,338,0,0
390,522,338,0,0
387,522,338,0,0
385,522,338,0,0
384,522,338,0,0
384,522,338,0,0
385,522,338,0,0
387,522,338,0,0
390,522,338,0,0
394,522,338,0,0
399,522,338,0,0
405,522,338,0,0
396,522,338,0,1
388,522,338,0,0
381,522,338,0,0
375,522,338,0,0
370,522,338,0,0
366,522,338,0,0
363,522,338,0,0
361,522,338,0,0
360,522,338,0,0
360,522,338,0,0
361,522,338,0,0
363,522,338,0,0
366,522,338,0,0
370,522,338,0,0
375,522,338,0,0
381,522,338,0,0
388,522,338,0,0
393,522,338,0,0
398,522,338,0,0
404,522,338,0,0
409,522,338,0,0
415,522,338,0,0
421,522,338,0,0
427,522,338,0,0
418,522,338,0,1
410,522,338,0,0
403,522,338,0,0
397,522,338,0,0
392,522,338,0,0
388,522,338,0,0
385,522,338,0,0
383,522,338,0,0
382,522,338,0,0
382,522,338,0,0
383,522,338,0,0
385,501,317,85,0
388,501,317,83,0
392,501,317,81,0
397,501,317,79,0
388,501,317,77,1
380,501,317,75,0
373,501,317,73,0
367,501,317,71,0
362,501,317,69,0
358,501,317,67,0
355,501,317,65,0
353,501,317,63,0
352,501,317,61,0
352,501,317,59,0
353,501,317,57,0
355,501,317,55,0
358,501,317,53,0
362,501,317,51,0
367,501,317,49,0
373,501,317,47,0
380,501,317,45,0
385,501,317,43,0
391,501,317,41,0
396,501,317,39,0
402,501,317,37,0
407,501,317,35,0
413,501,317,33,0
420,501,317,31,0
426,501,317,29,0
417,501,317,27,1
409,501,317,25,0
402,501,317,23,0
396,501,317,21,0
391,501,317,19,0
387,501,317,17,0
384,501,317,15,0
382,501,317,13,0
381,501,317,11,0
381,501,317,9,0
382,501,317,7,0
384,501,317,5,0
387,501,317,3,0
391,501,317,1,0
396,501,317,0,0
402,501,317,0,0
409,501,317,0,0
414,501,317,0,0
419,501,317,0,0
410,501,317,0,1
402,501,317,0,0
395,501,317,0,0
389,501,317,0,0
384,501,317,0,0
380,501,317,0,0
377,501,317,0,0
375,501,317,0,0
374,501,317,0,0
374,501,317,0,0
375,501,317,0,0
377,501,317,0,0
380,501,317,0,0
384,501,317,0,0
389,501,317,0,0
395,501,317,0,0
402,501,317,0,0
407,501,317,0,0
412,501,317,0,0
418,501,317,0,0
409,501,317,0,1
401,501,317,0,0
394,501,317,0,0
388,501,317,0,0
383,501,317,0,0
379,501,317,0,0
376,501,317,0,0
374,501,317,0,0
373,501,317,0,0
373,501,317,0,0
374,501,317,0,0
376,501,317,0,0
379,501,317,0,0
383,501,317,0,0
388,501,317,0,0
394,501,317,0,0
401,501,317,0,0
406,501,317,0,0
397,501,317,0,1
389,501,317,0,0
382,501,317,0,0
376,501,317,0,0
371,501,317,0,0
367,501,317,0,0
364,501,317,0,0
362,501,317,0,0
361,501,317,0,0
361,501,317,0,0
352,501,317,0,1
344,501,317,0,0
337,501,317,0,0
331,501,317,0,0
326,501,317,0,0
322,501,317,0,0
319,501,317,0,0
317,501,317,0,0
316,501,317,0,0
316,501,317,0,0
317,501,317,0,0
319,501,317,0,0
322,501,317,0,0
326,501,317,0,0
331,501,317,0,0
337,501,317,0,0
344,501,317,0,0
349,501,317,0,0
354,501,317,0,0
359,501,317,0,0
365,454,270,103,0
371,454,270,101,0
377,454,270,99,0
368,454,270,97,1
360,454,270,95,0
353,454,270,93,0
347,454,270,91,0
342,454,270,89,0
338,454,270,87,0
335,454,270,85,0
333,454,270,83,0
332,454,270,81,0
332,454,270,79,0
333,454,270,77,0
335,454,270,75,0
338,454,270,73,0
342,454,270,71,0
347,454,270,69,0
353,454,270,67,0
360,454,270,65,0
365,454,270,63,0
370,454,270,61,0
375,454,270,59,0
366,454,270,57,1
358,454,270,55,0
351,454,270,53,0
345,454,270,51,0
340,454,270,49,0
336,454,270,47,0
333,454,270,45,0
331,454,270,43,0
330,454,270,41,0
330,454,270,39,0
331,454,270,37,0
333,454,270,35,0
336,454,270,33,0
340,454,270,31,0
345,454,270,29,0
351,454,270,27,0
358,454,270,25,0
363,454,270,23,0
369,454,270,21,0
374,454,270,19,0
380,454,270,17,0
371,454,270,15,1
363,454,270,13,0
356,454,270,11,0
350,454,270,9,0
345,454,270,7,0
341,454,270,5,0
338,454,270,3,0
336,454,270,1,0
335,454,270,0,0
335,454,270,0,0
336,454,270,0,0
338,454,270,0,0
341,454,270,0,0
345,454,270,0,0
350,454,270,0,0
356,454,270,0,0
363,454,270,0,0
368,454,270,0,0
373,454,270,0,0
378,454,270,0,0
384,454,270,0,0
375,454,270,0,1
367,454,270,0,0
360,454,270,0,0
354,454,270,0,0
349,454,270,0,0
345,454,270,0,0
342,454,270,0,0
340,454,270,0,0
339,454,270,0,0
339,454,270,0,0
340,454,270,0,0
342,454,270,0,0
345,454,270,0,0
349,454,270,0,0
354,454,270,0,0
360,454,270,0,0
351,454,270,0,1
343,454,270,0,0
336,454,270,0,0
330,454,270,0,0
325,454,270,0,0
321,454,270,0,0
318,454,270,0,0
316,454,270,0,0
315,454,270,0,0
315,454,270,0,0
316,454,270,0,0
318,454,270,0,0
321,454,270,0,0
325,454,270,0,0
330,454,270,0,0
336,454,270,0,0
343,454,270,0,0
348,454,270,0,0
353,454,270,0,0
358,454,270,0,0
364,454,270,0,0
370,454,270,0,0
361,454,270,0,1
353,454,270,0,0
346,454,270,0,0
340,454,270,0,0
335,454,270,0,0
331,454,270,0,0
328,454,270,0,0
326,454,270,0,0
325,454,270,0,0
325,454,270,0,0
326,454,270,0,0
328,454,270,0,0
331,454,270,0,0
335,454,270,0,0
340,454,270,0,0
346,454,270,0,0
353,454,270,0,0
358,454,270,0,0
363,454,270,0,0
368,454,270,0,0
359,454,270,0,1
351,454,270,0,0
344,455,271,85,0
338,455,271,83,0
333,455,271,81,0
329,455,271,79,0
326,455,271,77,0
324,455,271,75,0
323,455,271,73,0
323,455,271,71,0
324,455,271,69,0
326,455,271,67,0
329,455,271,65,0
333,455,271,63,0
338,455,271,61,0
344,455,271,59,0
351,455,271,57,0
356,455,271,55,0
362,455,271,53,0
367,455,271,51,0
373,455,271,49,0
378,455,271,47,0
384,455,271,45,0
391,455,271,43,0
397,455,271,41,0
388,455,271,39,1
380,455,271,37,0
373,455,271,35,0
367,455,271,33,0
362,455,271,31,0
358,455,271,29,0
355,455,271,27,0
353,455,271,25,0
352,455,271,23,0
352,455,271,21,0
353,455,271,19,0
355,455,271,17,0
358,455,271,15,0
362,455,271,13,0
367,455,271,11,0
373,455,271,9,0
380,455,271,7,0
385,455,271,5,0
390,455,271,3,0
396,455,271,1,0
401,455,271,0,0
392,455,271,0,1
384,455,271,0,0
377,455,271,0,0
371,455,271,0,0
366,455,271,0,0
362,455,271,0,0
359,455,271,0,0
357,455,271,0,0
356,455,271,0,0
356,455,271,0,0
357,455,271,0,0
359,455,271,0,0
362,455,271,0,0
353,455,271,0,1
345,455,271,0,0
338,455,271,0,0
332,455,271,0,0
327,455,271,0,0
323,455,271,0,0
320,455,271,0,0
318,455,271,0,0
317,455,271,0,0
317,455,271,0,0
318,455,271,0,0
309,455,271,0,1
301,455,271,0,0
294,455,271,0,0
288,455,271,0,0
283,455,271,0,0
279,455,271,0,0
276,455,271,0,0
274,455,271,0,0
273,455,271,0,0
273,455,271,0,0
274,455,271,0,0
276,455,271,0,0
279,455,271,0,0
283,455,271,0,0
288,455,271,0,0
294,455,271,0,0
301,455,271,0,0
306,455,271,0,0
311,455,271,0,0
317,455,271,0,0
322,455,271,0,0
328,455,271,0,0
334,455,271,0,0
340,455,271,0,0
347,455,271,0,0
353,455,271,0,0
360,455,271,0,0
367,455,271,0,0
374,455,271,0,0
382,455,271,0,0
389,455,271,0,0
397,455,271,0,0
405,455,271,0,0
413,455,271,0,0
422,455,271,0,0
430,455,271,0,0
439,455,271,0,0
448,455,271,0,0
457,455,271,0,0
467,455,271,0,0
476,455,271,0,0
467,455,271,0,1
459,455,271,0,0
452,455,271,0,0
446,455,271,0,0
441,455,271,0,0
437,455,271,0,0
434,455,271,0,0
432,544,360,103,0
431,544,360,101,0
431,544,360,99,0
432,544,360,97,0
434,544,360,95,0
437,544,360,93,0
441,544,360,91,0
432,544,360,89,1
424,544,360,87,0
417,544,360,85,0
411,544,360,83,0
406,544,360,81,0
402,544,360,79,0
399,544,360,77,0
397,544,360,75,0
396,544,360,73,0
396,544,360,71,0
397,544,360,69,0
399,544,360,67,0
402,544,360,65,0
406,544,360,63,0
411,544,360,61,0
417,544,360,59,0
424,544,360,57,0
429,544,360,55,0
435,544,360,53,0
440,544,360,51,0
446,544,360,49,0
451,544,360,47,0
457,544,360,45,0
464,544,360,43,0
470,544,360,41,0
461,544,360,39,1
453,544,360,37,0
446,544,360,35,0
440,544,360,33,0
435,544,360,31,0
431,544,360,29,0
428,544,360,27,0
426,544,360,25,0
425,544,360,23,0
425,544,360,21,0
426,544,360,19,0
428,544,360,17,0
431,544,360,15,0
435,544,360,13,0
440,544,360,11,0
446,544,360,9,0
453,544,360,7,0
458,544,360,5,0
463,544,360,3,0
469,544,360,1,0
460,544,360,0,1
452,544,360,0,0
445,544,360,0,0
439,544,360,0,0
434,544,360,0,0
430,544,360,0,0
427,544,360,0,0
425,544,360,0,0
424,544,360,0,0
424,544,360,0,0
425,544,360,0,0
427,544,360,0,0
430,544,360,0,0
434,544,360,0,0
439,544,360,0,0
445,544,360,0,0
452,544,360,0,0
457,544,360,0,0
462,544,360,0,0
467,544,360,0,0
458,544,360,0,1
450,544,360,0,0
443,544,360,0,0
437,544,360,0,0
432,544,360,0,0
428,544,360,0,0
425,544,360,0,0
423,544,360,0,0
422,544,360,0,0
422,544,360,0,0
423,544,360,0,0
425,544,360,0,0
428,544,360,0,0
432,544,360,0,0
437,544,360,0,0
443,544,360,0,0
450,544,360,0,0
