bird_y, bottom_pipe_y, top_pipe_y, dist, did_jump
355,456,258,333,0
360,456,258,331,0
365,456,258,329,0
371,456,258,327,0
377,456,258,325,0
383,456,258,323,0
389,456,258,321,0
395,456,258,319,0
402,456,258,317,0
409,456,258,315,0
416,456,258,313,0
423,456,258,311,0
430,456,258,309,0
438,456,258,307,0
446,456,258,305,0
454,456,258,303,0
462,456,258,301,0
470,456,258,299,0
461,456,258,297,1
453,456,258,295,0
446,456,258,293,0
440,456,258,291,0
435,456,258,289,0
431,456,258,287,0
428,456,258,285,0
426,456,258,283,0
425,456,258,281,0
425,456,258,279,0
426,456,258,277,0
428,456,258,275,0
431,456,258,273,0
435,456,258,271,0
440,456,258,269,0
446,456,258,267,0
437,456,258,265,1
429,456,258,263,0
422,456,258,261,0
416,456,258,259,0
411,456,258,257,0
407,456,258,255,0
404,456,258,253,0
402,456,258,251,0
401,456,258,249,0
401,456,258,247,0
402,456,258,245,0
404,456,258,243,0
407,456,258,241,0
411,456,258,239,0
416,456,258,237,0
422,456,258,235,0
429,456,258,233,0
434,456,258,231,0
439,456,258,229,0
445,456,258,227,0
450,456,258,225,0
441,456,258,223,1
433,456,258,221,0
426,456,258,219,0
420,456,258,217,0
415,456,258,215,0
411,456,258,213,0
408,456,258,211,0
406,456,258,209,0
405,456,258,207,0
405,456,258,205,0
406,456,258,203,0
408,456,258,201,0
411,456,258,199,0
415,456,258,197,0
420,456,258,195,0
426,456,258,193,0
433,456,258,191,0
438,456,258,189,0
429,456,258,187,1
421,456,258,185,0
414,456,258,183,0
408,456,258,181,0
403,456,258,179,0
399,456,258,177,0
396,456,258,175,0
394,456,258,173,0
393,456,258,171,0
393,456,258,169,0
394,456,258,167,0
396,456,258,165,0
399,456,258,163,0
403,456,258,161,0
394,456,258,159,1
386,456,258,157,0
379,456,258,155,0
373,456,258,153,0
368,456,258,151,0
364,456,258,149,0
361,456,258,147,0
359,456,258,145,0
358,456,258,143,0
358,456,258,141,0
359,456,258,139,0
361,456,258,137,0
364,456,258,135,0
368,456,258,133,0
373,456,258,131,0
379,456,258,129,0
370,456,258,127,1
362,456,258,125,0
355,456,258,123,0
349,456,258,121,0
344,456,258,119,0
340,456,258,117,0
337,456,258,115,0
335,456,258,113,0
334,456,258,111,0
334,456,258,109,0
335,456,258,107,0
337,456,258,105,0
340,456,258,103,0
344,456,258,101,0
349,456,258,99,0
340,456,258,97,1
332,456,258,95,0
325,456,258,93,0
319,456,258,91,0
314,456,258,89,0
310,456,258,87,0
307,456,258,85,0
305,456,258,83,0
304,456,258,81,0
304,456,258,79,0
305,456,258,77,0
307,456,258,75,0
310,456,258,73,0
314,456,258,71,0
319,456,258,69,0
310,456,258,67,1
302,456,258,65,0
295,456,258,63,0
289,456,258,61,0
284,456,258,59,0
280,456,258,57,0
277,456,258,55,0
275,456,258,53,0
274,456,258,51,0
274,456,258,49,0
275,456,258,47,0
277,456,258,45,0
280,456,258,43,0
284,456,258,41,0
289,456,258,39,0
295,456,258,37,0
302,456,258,35,0
307,456,258,33,0
312,456,258,31,0
318,456,258,29,0
323,456,258,27,0
329,456,258,25,0
335,456,258,23,0
326,456,258,21,1
318,456,258,19,0
311,456,258,17,0
305,456,258,15,0
300,456,258,13,0
296,456,258,11,0
293,456,258,9,0
291,456,258,7,0
290,456,258,5,0
290,456,258,3,0
281,456,258,1,1
273,456,258,0,0
266,456,258,0,0
260,456,258,0,0
255,456,258,0,-1
251,456,258,0,-1
248,456,258,0,-1
246,456,258,0,-1
245,456,258,0,-1
245,456,258,0,-1
246,456,258,0,-1
248,456,258,0,-1
251,456,258,0,-1
255,456,258,0,-1
260,456,258,0,-1
266,456,258,0,-1
273,456,258,0,-1
278,456,258,0,-1
283,456,258,0,-1
289,456,258,0,-1
294,456,258,0,-1
300,456,258,0,-1
306,456,258,0,-1
312,456,258,0,-1
319,456,258,0,-1
325,456,258,0,-1
332,456,258,0,-1
339,456,258,0,-1
346,456,258,0,-1
354,456,258,0,-1
361,456,258,0,-1
369,456,258,0,-1
377,456,258,0,-1
385,456,258,0,-1
394,456,258,0,-1
402,456,258,0,-1
411,456,258,0,-1
420,456,258,0,-1
429,456,258,0,-1
439,456,258,0,-1
448,456,258,0,-1
458,456,258,0,-1
468,456,258,0,-1
478,456,258,0,-1
489,456,258,0,-1
499,456,258,0,-1
510,456,258,0,-1
521,456,258,0,-1
532,456,258,0,-1
544,456,258,0,-1
555,456,258,0,-1
567,456,258,0,-1
579,456,258,0,-1
591,456,258,0,-1
604,456,258,0,-1
616,456,258,0,-1
629,456,258,0,-1
642,456,258,0,-1
655,456,258,0,-1
669,456,258,0,-1
682,456,258,0,-1
696,456,258,0,-1
710,456,258,0,-1
724,456,258,0,-1
55,582,382,333,0
60,582,382,331,0
65,582,382,329,0
71,582,382,327,0
77,582,382,325,0
83,582,382,323,0
89,582,382,321,0
95,582,382,319,0
102,582,382,317,0
109,582,382,315,0
116,582,382,313,0
123,582,382,311,0
130,582,382,309,0
138,582,382,307,0
146,582,382,305,0
154,582,382,303,0
162,582,382,301,0
170,582,382,299,0
179,582,382,297,0
188,582,382,295,0
197,582,382,293,0
206,582,382,291,0
215,582,382,289,0
225,582,382,287,0
235,582,382,285,0
245,582,382,283,0
255,582,382,281,0
265,582,382,279,0
276,582,382,277,0
286,582,382,275,0
297,582,382,273,0
309,582,382,271,0
320,582,382,269,0
332,582,382,267,0
343,582,382,265,0
355,582,382,263,0
368,582,382,261,0
380,582,382,259,0
393,582,382,257,0
405,582,382,255,0
418,582,382,253,0
432,582,382,251,0
445,582,382,249,0
459,582,382,247,0
472,582,382,245,0
486,582,382,243,0
501,582,382,241,0
515,582,382,239,0
530,582,382,237,0
544,582,382,235,0
559,582,382,233,0
575,582,382,231,0
590,582,382,229,0
606,582,382,227,0
621,582,382,225,0
637,582,382,223,0
654,582,382,221,0
670,582,382,219,0
687,582,382,217,0
703,582,382,215,0
720,582,382,213,0
55,426,226,333,0
60,426,226,331,0
65,426,226,329,0
71,426,226,327,0
77,426,226,325,0
83,426,226,323,0
89,426,226,321,0
95,426,226,319,0
102,426,226,317,0
109,426,226,315,0
116,426,226,313,0
123,426,226,311,0
130,426,226,309,0
138,426,226,307,0
146,426,226,305,0
154,426,226,303,0
162,426,226,301,0
170,426,226,299,0
179,426,226,297,0
188,426,226,295,0
197,426,226,293,0
206,426,226,291,0
215,426,226,289,0
225,426,226,287,0
235,426,226,285,0
245,426,226,283,0
255,426,226,281,0
265,426,226,279,0
276,426,226,277,0
286,426,226,275,0
297,426,226,273,0
309,426,226,271,0
320,426,226,269,0
332,426,226,267,0
343,426,226,265,0
355,426,226,263,0
368,426,226,261,0
380,426,226,259,0
